Altersstruktur der Bevölkerung in Deutschland, 31.12.2015;;
Datenquelle: Statistisches Bundesamt;;
;;
http://www.demografie-portal.de/SharedDocs/Informieren/DE/ZahlenFakten/Bevoelkerung_Altersstruktur_Ereignisse.html;;
;;
;;
;Anzahl an Personen;
Alter;Männer;Frauen
0;382551;362170
1;380101;359977
2;367786;347822
3;366762;346995
4;359093;340289
5;367898;348965
6;362274;342442
7;371378;351988
8;370501;349951
9;363739;342778
10;368339;348360
11;377066;356632
12;377366;356615
13;384238;362053
14;394959;370038
15;414430;387785
16;423269;388025
17;433447;397595
18;459532;413639
19;458792;413450
20;454777;410082
21;462645;420269
22;479967;438088
23;490304;450279
24;510875;470592
25;564094;517414
26;555439;514168
27;571878;527199
28;559651;517800
29;547653;512385
30;530264;498019
31;526211;497203
32;525713;500561
33;536345;512875
34;528536;512133
35;530571;515394
36;503981;491704
37;497251;484559
38;493218;480310
39;482259;472497
40;470864;459589
41;475238;467556
42;478608;472076
43;520434;510837
44;573664;561222
45;594848;582482
46;640979;624114
47;671085;653581
48;688363;671607
49;707270;689375
50;710458;690454
51;721941;704276
52;714227;699283
53;688648;678752
54;675553;671173
55;650555;648841
56;631174;630592
57;594323;595821
58;577953;582959
59;558486;567936
60;536080;552816
61;519384;545713
62;498035;529608
63;494051;528204
64;481708;516457
65;478436;515108
66;460601;495342
67;418628;449827
68;388193;423014
69;334464;368271
70;287518;325616
71;381396;431418
72;382470;435355
73;364626;419698
74;431361;509735
75;441132;533183
76;420883;520075
77;379043;476392
78;338294;436966
79;310317;413613
80;281699;387957
81;243568;347107
82;180373;268040
83;163714;255410
84;150123;246421
85;139960;243846
86;119675;219512
87;102853;197552
88;79586;169661
89;62456;151599
90;48340;132431
91;33585;106525
92;25062;86000
93;19574;70114
94;14452;56848
95;10102;41676
96;5420;23850
97;2225;10673
98;1439;7049
99;981;5246
100 und mehr;2492;14007
